brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
boody,Sweet dreams only in @boody’s new vegan silk sleepwear ☁️ combined with @dreamlabsau by @tokyoheadspa? Heaven. AD,31-10-2024,0,,,0,-1,20,https://www.instagram.com/p/DBxTkvBgwS1/,
boody,"Four years ago today, I had a double mastectomy after being diagnosed with an aggressive form of breast cancer. In celebration of being a cancer warrior, I wear my @boody pink limited edition t-shirt bra today, with 100% of the profits going to breast cancer care nurses (angels & lifesavers) in October. You’ve got a few days to buy one in support.

PS is possibly the best bra I’ve ever worn, especially for a mastectomy/reconstruction patient.
PPS HAVE YOUR BREASTS CHECKED

#breastcancerawarenessmonth #breastcancerawareness #breastcancerwarrior #boody #bcampink #notanad #Mammogram #breastchecks",29-10-2024,0,,,0,169,16,https://www.instagram.com/p/DBsiFEkzX1U/,
boody,"Our Lead Designer Karen explains how to care for your Vegan Silk Sleepwear ✨ 

Discover the Vegan Silk Collection via link in bio 🔗",28-10-2024,0,,,0,93,8,https://www.instagram.com/p/DBrrqfcMNsA/,
boody,"It's okay to take it easy sometimes ☁️

Credit: @aolanow",28-10-2024,0,,,0,452,2,https://www.instagram.com/p/DBpipBUSxBs/,
boody,"Our Lead Designer Karen introduces our new Vegan Silk Sleepwear Collection ✨ 

Discover the Vegan Silk Collection via link in bio 🔗",26-10-2024,0,,,0,186,6,https://www.instagram.com/p/DBmZrxaM3Hp/,
boody,"☁️

📸 @lenamaria.s",25-10-2024,0,,,0,82,0,https://www.instagram.com/p/DBkPGRqyMPC/,
boody,"Thank you so much for 100,000 5-Star Reviews! ⭐️⭐️⭐️⭐️⭐️",25-10-2024,0,,,0,71,0,https://www.instagram.com/p/DBiVMUcRhWS/,
boody,What’s your opinion on styling sleepwear as outerwear? Yes or no? 👀🤍,24-10-2024,0,,,0,114,13,https://www.instagram.com/p/DBfh_YPAf4H/,
boody,"Available in two limited-edition colours, Garnet and Pearl 🤎🤍 

Shop the Vegan Silk Collection via link in bio 🔗",23-10-2024,0,,,0,87,0,https://www.instagram.com/p/DBc4jVNNEHp/,
boody,Jess wears our Vegan Silk Sleep Cami and Wide Leg Sleep Pant in Garnet 🤎,23-10-2024,0,,,0,93,11,https://www.instagram.com/p/DBdPC9ey-RH/,
boody,"Luxurious yet lightweight ✨

Shop the Vegan Silk Collection via link in bio 🔗",21-10-2024,0,,,0,69,3,https://www.instagram.com/p/DBYC-FHyxZy/,
boody,"Sleepwear made from 100% Organic Bamboo Viscose ✨

Shop the Vegan Silk Collection via link in bio 🔗",20-10-2024,0,,,0,98,7,https://www.instagram.com/p/DBVke2AyL_2/,
boody,"Behind the scenes at our photoshoot for Vegan Silk ✨

Shop the collection via link in bio 🔗",20-10-2024,0,,,0,134,8,https://www.instagram.com/p/DBXCpBbMGmN/,
boody,"Discover the Limited-Edition Vegan Silk Collection ✨

This collection is available in the colours Garnet and Pearl, with five styles to choose from. 

Which colour do you love?",20-10-2024,0,,,0,77,8,https://www.instagram.com/p/DBVGBrMRh4y/,
boody,"Slip into Luxury ✨

Introducing Vegan Silk. Made from 100% pure, organic, Bamboo Viscose - it's silk that you can feel good about (and in). 

Our Limited-Edition Vegan Sleepwear Collection is thoughtfully crafted with zero synthetics. This responsibly sourced fabric offers a premium silky-smooth feel - without compromising the planet. 

Discover the collection via link in bio 🔗",19-10-2024,0,,,0,153,25,https://www.instagram.com/p/DBUlHw8T2lv/,
boody,"✨ They’re BACK ✨

Gift Boxes are now here in time for the gifting season.

Get prepared early this year and shop Socks, Baby, Men’s and Women’s Gift Boxes via link in bio 🔗",18-10-2024,0,,,0,48,4,https://www.instagram.com/p/DBQOWnRMc1g/,
boody,"Our Gift Boxes but make it ASMR ✨
Turn your volume up for maximum effect 🔊

Shop Gifting via link in bio 🔗",18-10-2024,0,,,0,61,4,https://www.instagram.com/p/DBR2RZhg-kH/,
boody,"Did you hear that? 👀

This year, give the Gift of Comfort. Our Giftboxes are back again, making it easy and convenient for you to gift to family and friends 🎁

Giftboxes are now available on our Australia and New Zealand websites. ​Coming soon for our other regions. 

Shop link in bio 🔗",17-10-2024,0,,,0,118,6,https://www.instagram.com/p/DBNwB9lsYTO/,
boody,"Give the Gift of Comfort ☁️

This season, we’re making gift-buying easier than ever before. Our hand-curated gift boxes bring together our best-selling styles with limited edition colours and designs, all wrapped in elegant, consciously crafted packaging ✨

Now, the only question is: who will you treat?
(HINT: Self-gifting is highly encouraged 👀)

Gift Boxes are now available on our Australia and New Zealand websites. ​Coming soon for our other regions.",17-10-2024,0,,,0,68,0,https://www.instagram.com/p/DBPhqAjTy9a/,
boody,"We’re pink for @coppafeel 🩷

Our Limited Edition Pink Collection in collaboration with @coppafeel for Breast Cancer Awareness Month, only available in October.

All profits go directly to CoppaFeel! and their life saving mission to get you to Check Your Chest!",16-10-2024,0,,,0,228,21,https://www.instagram.com/p/DBKsmowM6rz/,
boody,"First impressions of our bras 👀 
We think we have a couple of new fans…

We had fun interviewing the lovely audience at the @twobrokechicks Live Show on the weekend 🫶",16-10-2024,0,,,0,52,0,https://www.instagram.com/p/DBNEN5Lu8yf/,
boody,"Have you had a positive or negative experience shopping for bras? 💬

We had fun interviewing the lovely audience at the @twobrokechicks Live Show on the weekend 🫶",15-10-2024,0,,,0,48,4,https://www.instagram.com/p/DBIn15cgHbI/,
boody,@emmapeterson____ styles our Long Jumpsuit in three ways ✨,13-10-2024,0,,,0,136,10,https://www.instagram.com/p/DBFAMo5MBGG/,
boody,"⭐️⭐️⭐️⭐️⭐️ ""This is a dream of a garment - the cuffs and the zip make it uniquely easy to use and soft for baby to wear. I bought it for my grandson and it is going down really well with his parents!"" - Claire B.

Max wears the Baby Long Sleeve Romper in Storm.",13-10-2024,0,,,0,106,2,https://www.instagram.com/p/DBDd-aQSUkO/,
boody,@babsy.silverfox wears our Limited Edition Pink Bra and Underwear for Breast Cancer Awareness Month 🩷,11-10-2024,0,,,0,235,12,https://www.instagram.com/p/DA-t4ukMdPh/,
boody,"Did you know that 1 in 7 women in Australia will face a breast cancer diagnosis? 💔 Together with @boody , we can help make a difference. Their Limited Edition Pink Range donates 100% of profits to the @mcgrathfoundation , funding McGrath Breast Care Nurses who provide life-changing support to families affected by breast cancer. 🌸 Plus, their bamboo fabric is not only soft, it’s perfect for recovery. Let’s stand together and support this incredible cause! 💕 #Boody #BoodyForBreastCancer #McGrathFoundation #BreastCancerAwareness #SupportTheCause",07-10-2024,0,,,0,187,58,https://www.instagram.com/p/DA0SAYii7qw/,
boody,@chloeshayden wears our Long Jumpsuit in Moss 💚,07-10-2024,0,,,0,2272,23,https://www.instagram.com/p/DA11PwCtoBm/,
boody,"Shapewear so comfy, you can lounge in it ☁️

@iamkyla99",06-10-2024,0,,,0,99,10,https://www.instagram.com/p/DAzDYn0TZvk/,
boody,"If you grow them, you should know them 🩷

October is Breast Cancer Awareness Month, focused on increasing awareness of breast cancer, encouraging early detection, and providing support for those affected by breast cancer.",05-10-2024,0,,,0,460,0,https://www.instagram.com/p/DAwcvEWzhfC/,
boody,"This is your reminder to CHECK YOUR CHEST 🍈🍈

& if you are having trouble remembering why not invest in a pair of bright pink pants or this bralette so whenever you see them in your underwear draw it’s a little visual reminder that it might be time for a check 👍🏼

ALL PROFITS from the sale of this wonderful collaboration between @coppafeel & @boody (Australian BCORP brand) go directly to @coppafeel.  I’ll pop a link in stories to the site and also to the incredible @howtoglitteraturd ‘Living Every Second’ documentary which aired last night in the UK on BBC2 but can now be found on iPlayer.  I met Kris back in 2010 when I was working on a shoot and will always remember how brightly she shone and her incredible outlook on life 🤍🙏🏼 

Sending love to anyone that has been affected by cancer 🙏🏼

@boody have kindly donated a fee for this post to @coppafeel which I’m matching, please give what you can Xx",05-10-2024,0,,,0,-1,9,https://www.instagram.com/p/DAvC_Eiz4Nz/,
boody,@gracejupp Birdie Joy comfy in our Long Sleeve Baby Romper in Dusty Pink ☁️,05-10-2024,0,,,0,115,6,https://www.instagram.com/p/DAuMLUATGDZ/,
boody,"A reminder to check your chest 🩷

Credit: @ferncooke",03-10-2024,0,,,0,274,5,https://www.instagram.com/p/DArZpaGzB-Q/,
boody,"My thighs are best friends and the @boody Undershort is the glue that...keeps them apart. 😂 Seriously though, if you’ve experienced inner thigh chafe, you know it’s SO painful - we’re done with chafe. BYE. 👋🏻 Sizes XS - 4XL, breathable, soft, comfy. I wear a size S or M in these shorts for reference! ad",02-10-2024,0,,,0,-1,39,https://www.instagram.com/p/DAo2LvyA_Em/,
boody,Fresh flowers >>> 🌷,02-10-2024,0,,,0,75,0,https://www.instagram.com/p/DAo1iMazv-H/,
boody,@emmapeterson____ styles our Long Jumpsuit in Moss🫶💚,02-10-2024,0,,,0,192,8,https://www.instagram.com/p/DAm9dFbxZH-/,
boody,"Did you know 1 in 7 women in Australia will face a breast cancer diagnosis? 💔 @boody is stepping up to make a difference with their Limited Edition Pink Range, donating 100% of profits to the @mcgrathfoundation ! 🌸 These funds go directly to supporting McGrath Breast Care Nurses who provide critical care to families affected by breast cancer. Plus, the bamboo fabric is incredibly soft and perfect for recovery. 💕 Let’s support this amazing cause together! #Boody #BoodyForBreastCancer #McGrathFoundation #BreastCancerAwareness",01-10-2024,0,,,0,178,37,https://www.instagram.com/p/DAk9FRHC_RW/,
boody,"This October, in honour of Breast Cancer Awareness Month, we're launching a special Limited Edition Pink Collection 💕

For a limited time, the following styles are available in Pink: 
🩷 Full Bust Wireless Bra 
🩷 Wireless T-Shirt Bra
🩷 Full Briefs
🩷 Classic Bikini
🩷 Seamfree Boxer Briefs

Shop Pink now via link in bio 🔗",01-10-2024,0,,,0,186,8,https://www.instagram.com/p/DAkHp-wzh85/,
boody,"We’re Pink for Charity 🩷

This October, in honour of Breast Cancer Awareness Month, we’re launching a special Limited Edition Pink Collection 💕 

Shop via link in bio 🔗",01-10-2024,0,,,0,127,24,https://www.instagram.com/p/DAmZjARgE7p/,
boody,"Our Bestsellers are turning Pink for October 🩷

@mcgrathfoundation 
@coppafeel 
@nationalbreastcancercoalition",30-09-2024,0,,,0,607,48,https://www.instagram.com/p/DAiGdMiulz2/,
boody,Our Moss Jumpsuit out and about 💚,30-09-2024,0,,,0,94,2,https://www.instagram.com/p/DAhV0Xzt9ew/,
boody,"A trip to the farmers markets 🧑‍🌾🥖🍅🌷

Maddy wears our Long Jumpsuit in Moss.",28-09-2024,0,,,0,118,6,https://www.instagram.com/p/DAcQJjozM8k/,
boody,"Our Long Jumpsuit was designed without the need for buttons or zips, just slip it on and go 🫶",26-09-2024,0,,,0,671,90,https://www.instagram.com/p/DAXyx3HuleE/,
boody,"Getting coffee and going to the markets is better with your besties 👯‍♀️🥕🍅🥬

(P.S. can you spot something new? 👀)

Shop the Long Jumpsuit in Moss 🌿",25-09-2024,0,,,0,256,23,https://www.instagram.com/p/DAVHdFJsPrf/,
boody,"Elevated basics with Boody 🖤
Boody products are crafted in organically grown bamboo viscose, which means they’re silky-soft, breathable and ideal for everyday wear! 

Featured items:
Ribbed boat neck bodysuit 
Ribbed tank top 
Long jumpsuit 

Which look is your favorite? Let me know in the comments! Comment BOODY to receive my @shop.ltk link of the featured pieces! Stay cozy and happy Fall 🍂🍂🍂🍂

@shop.ltk #liketkit 

#BoodyLove #ComfyVibes #LoungingInStyle #EcoFriendlyFashion #boody #makeyourselfcomfortable",23-09-2024,0,,,0,323,314,https://www.instagram.com/p/DAQ9bklAs2y/,
boody,@indiannakent styling our Full Briefs in White ☁️,21-09-2024,0,,,0,64,4,https://www.instagram.com/p/DAKLjFHTedL/,
boody,"We’re proud to support FSC® Forest Week 🌳

As a promotional licence holder, we’re committed to ensuring our bamboo is responsibly sourced from sustainably managed forests. This supports the protection of wildlife and the rights of communities and workers dependent on forests, while also contributing to the fight against climate change and the loss of biodiversity.

This year’s theme is ‘small steps together create big change for all’. Ready to make a positive impact?
Start with something as simple as changing your underwear 🩲

When you see the FSC® logo, you can trust that your products are sourced responsibly. Let’s make a difference together!

FSC® N004457

#FSCForestWeek @fsc_anz",21-09-2024,0,,,0,74,0,https://www.instagram.com/p/DAKM2QIN9UV/,
boody,"We make comfy essentials for everyday ☁️

@__namishinada",19-09-2024,0,,,0,93,3,https://www.instagram.com/p/DAFQG9sT1i0/,
boody,"Time outdoors offers the benefit of mental rest and rejuvenation. It helps improve memory, attention, impulse control and creativity 🌳",17-09-2024,0,,,0,229,0,https://www.instagram.com/p/DAAixflTm48/,
boody,"Mum and bub in matching Dusty Pink sleepwear and babywear 🥺🌸

📷 @gracejupp",13-09-2024,0,,,0,89,2,https://www.instagram.com/p/C_35sFnT4ZJ/,
boody,Which one do you like? 👀,13-09-2024,0,,,0,516,232,https://www.instagram.com/p/C_2DfCbujAs/,
boody,"Introducing Olive for Men’s Underwear 🫒✨

Available in the following styles:
🫒 Everyday Boxer Briefs
🫒 Everyday Briefs
🫒 Seamfree Boxer Briefs",11-09-2024,0,,,0,57,4,https://www.instagram.com/p/C_wyjlxuFf4/,
boody,@katewas_ wears our Short Romper 💚,10-09-2024,0,,,0,73,8,https://www.instagram.com/p/C_u0KuJT2VC/,
boody,"The comfiest combo 🧦🥺

#socks #clogsandsocks #clogs",08-09-2024,0,,,0,400,4,https://www.instagram.com/p/C_q9JeIMj9e/,
boody,"Time to s(t)ock up on socks 🧦

Discover up to 25% off when you buy 3+ pairs.

Check out our Sock Story Highlight to find what sock best suits you ✨",06-09-2024,0,,,0,96,,https://www.instagram.com/p/C_lxGozTi0p/,
boody,"We love soft and cosy spaces ✨☁️

Credit @lenamaria.s",06-09-2024,0,,,0,59,2,https://www.instagram.com/p/C_kTODbT21U/,
boody,"Our sleepwear is designed with comfort in mind ☁️

Ella wears our Goodnight Sleep Cami, Sleep Pant and matching Eye Mask & Scrunchie in Black 🖤",05-09-2024,0,,,0,61,8,https://www.instagram.com/p/C_hag3UTlo_/,
boody,"Comfy self-care essentials, crafted in our signature bamboo viscose ☁️",30-08-2024,0,,,0,61,0,https://www.instagram.com/p/C_R0mr0Thfw/,
boody,That feeling when the whole family's in Boody 💚 @junglejunggle,30-08-2024,0,,,0,119,14,https://www.instagram.com/p/C_T3g88z_Ep/,
